Naam,Geslacht,Welke sporten heb je beoefend?,"Anders, namelijk",Hoeveel jaar heb je je langst beoefende sport beoefend?,Wat is het fanatiekst dat je hebt gesport?,Wat is je beste sportprestatie?,Heb je eerder geroeid?,"Zo ja, hoe lang?","Zo ja, hoe vaak per week?","Zo ja, bij welke vereniging?",Hoe vaak ben je van plan te gaan roeien per week?,Gewicht (in kg),Lengte (in cm),Ik wil naar Skøll voor,Heb je je naast sport op een ander gebied buitengewoon ingezet?,Waar ken je Skøll van?,"Anders, namelijk.1",Waarom zou jij goed bij Skøll passen?,Instituut,Wanneer ben je begonnen met je studie?,Wanneer verwacht je af te studeren?,Heb je je zwemdiploma A?,"Indien je niet in Amsterdam woont, ben je op zoek naar een kamer in Amsterdam?","Op Skøll eten veel mensen vegetarisch, pas je voorkeur hieronder aan als je toch wel vlees wilt eten",Heb je medische bijzonderheden waar wij rekening mee moeten houden?,Namelijk,Heb je allergieën waar wij rekening mee moeten houden?,Wanneer kun je roeien?
-6612478780377039024,Man,"cycling, tennis, hockey, other","Mountainbiken, snowboarden","Hockey 13 jaar, tennis 9 jaar, overige sporten af en toe.",,Gepromoveerd met MHC Castricum Heren 1 (hockey),Nee,,? keer per week,,3 à 4 keer per week,65,182,,,friend,,,,,,Nee,Nee,,Nee,,,"ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja"
6692203258564109802,Vrouw,"tennis, hockey, other","Paardrijden, ballet, skiën",Gemiddeld 3 jaar elke sport,,Hockey,Nee,,? keer per week,,Minder dan 2 keer per week,52,155,,,friend,,"Omdat ik van gezelligheid hou, graag nieuwe vrienden wil maken en (weer) wil gaan sporten.",Hogeschool van Amsterdam,,,Nee,Nee,,Nee,,,"ja ja ne ne, ja ja ne ne, ne ne ne ne, ja ja ne ne, ne ne ne ne"
-3615355294227953228,Vrouw,"atletics, ice-skating, tennis, swimming, hockey",dansen,14 jaar ,,2e team van H.C. Den Bosch,Nee,,? keer per week,,2 à 3 keer per week,55,170,,,"poster, friend, stand",,Omdat ik sportief ben en van gezelligheid houd en dit graag wil combineren. ,,,,Nee,n.v.t.,,Nee,,,"ne ja ja ja, ne ja ja ja, ne ja ja ja, ne ja ja ja, ne ja ja ja"
-7737199136878281970,Vrouw,"rowing, ice-skating, soccer",Bergsport,"Bergsport - als ik de kans krijg, 5 jaar geleden begonnen, Voetbal - 5 jaar, roeien 1 jaar, schaatsen 4 jaar",,Papua new guinnea - Mount Wilhelm 4602 m,Ja,1 jaar,2 à 3 keer per week,Willem III,2 à 3 keer per week,55,173,,,other,Row 4 Rights/buren van Willem 3,"Omdat ik jullie al altijd zag roeien toen ikzelf, nog op de middelbare school toen, bij Willem 3 roeide. Leek alsof er een hele fijne gezellige sfeer hing & de club zag er leuk uit. Bovendien was het gezellig met de Skøll roeiers tijdens Row4Rights!",,,,Nee,Ja,,Nee,,,"ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja"
7561939520363634527,Vrouw,hockey,,5,,Kampioen 1e klas met hockey. ,Nee,,? keer per week,,2 à 3 keer per week,73,176,,,friend,,"Ik ben een sportief, gedreven en enthousiast persoon. Ik vind het leuk om nieuwe contacten op te doen en in een team te werken. Een vereniging als Skøll is naar mijn idee een verrijking binnen m’n studentenleven in Amsterdam. ",,,,Nee,n.v.t.,,Nee,,,"ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja"
-5492581082609741866,Vrouw,"tennis, hockey",,6 jaar,,,Ja,2 jaar,Minder dan 2 keer per week,Willem III,2 à 3 keer per week,55,163,,,friend,,Ik heb zin in gezelligheid en sport.,,,,Nee,Nee,,Nee,,,"ja ja ja ja, ja ja ja ja, ne ne ne ne, ja ja ja ja, ja ja ja ja"
8695035927298463033,Vrouw,"atletics, ice-skating",,Tot mijn 13e.,,Meegedaan aan de 10km run. ,Nee,,? keer per week,,2 à 3 keer per week,75,181,,,friend,,Het lijkt mij leuk om samen met een ploeg iedere week te roeien en na afloop gezellig met elkaar te eten of een biertje te drinken. ,,,,Nee,n.v.t.,,Nee,,,"ne ne ja ja, ne ne ne ne, ne ja ja ja, ne ne ja ja, ne ja ja ja"
-4206409794739109737,Vrouw,swimming,,10 jaar,,"De beste tijden die ik ooit heb gezwommen zijn: 36.72 op de 50 vrije slag en 41.24 op de 50 rugslag (beide in 2017), 48.63  op 50 schoolslag (2016) en 45.10 op 50 vlinder (2015).\n",Nee,nvt,? keer per week,nvt,2 à 3 keer per week,85,184,,,"friend, stand",,"Ik denk dat ik goed bij Skøll zou kunnen passen, omdat ik op zoek ben naar een gezellige, vrijblijvende vereniging waar ik lekker kan sporten. Dit heb ik het afgelopen jaar nauwelijks gedaan en daar wil ik graag wat aan veranderen. Verder heb ik altijd een individuele sport gedaan (zwemmen) en het lijkt mij leuk om nu een nieuwe sport te leren en ook om in een team te werken.",Vrije Universiteit Amsterdam,,,Nee,n.v.t.,,Nee,,,"ne ne ne ne, ja ja ja ja, ja ja ja ja, ja ne ne ne, ja ja ja ja"
-355302476451283223,Man,"soccer, tennis, hockey, other",fitness,10 jaar in totaal,,,Nee,,? keer per week,,3 à 4 keer per week,65.3,176,,,other,oud-leden,Ik hou erg veel van sport en vind het leuk om met mensen om te gaan.,Hogeschool Inholland,,,Nee,Nee,,Nee,,,"ja ja ja ja, ja ja ja ja, ne ja ja ja, ne ja ja ja, ja ja ja ja"
7305752660352558033,Vrouw,"rowing, ice-skating",,"1 jaar roeien, 1 winter schaatsen",,,Ja,1 jaar,2 à 3 keer per week,willem 3,2 à 3 keer per week,50,160,,,friend,,,,,,Nee,n.v.t.,,Nee,,,"ne ja ja ne, ne ja ja ne, ne ja ja ne, ne ja ja ne, ne ne ne ne"
8240246995858400785,Man,other,Fitness,2 jaar,,100kg benchpress voor een aantal repetities,Nee,,? keer per week,,2 à 3 keer per week,86,182,,,"internet, friend",,Ik heb al wat ervaring met krachttraining en ik hoop een wat praktischere sport te kunnen beoefenen. Ik ben vriendelijk en kan goed in teamverband denken en werken.,Hogeschool van Amsterdam,,,Nee,Nee,,Nee,,,"ne ja ja ja, ne ja ja ja, ne ja ja ja, ne ja ja ja, ne ja ja ja"
-4081934633396221743,Vrouw,"tennis, other",Mountainbiken,Paardrijden,,Geen wedstrijden/ competitie gedaan,Ja,8 weken,2 à 3 keer per week,Skoll,2 à 3 keer per week,64,168,,,"friend, other",Vorig jaar meegedaan aan de rit,"Ik wil graag fanatiek roeien, maar ook de gezelligheid van een studentenvereniging",Universiteit van Amsterdam,,,Nee,n.v.t.,,Nee,,,"ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja, ne ne ja ja"
8130621456811500253,Vrouw,tennis,Kickboksen,allebei 6 jaar,,"Tennis competitie, clubkampioenschappen gewonnen",Nee,,? keer per week,,3 à 4 keer per week,74,181,,,friend,,Mijn doel is om bij de wedstrijdroeiers te komen en zoveel mogelijk uit mezelf te halen in deze sport. Ik ben altijd actief met sporten geweest en het lijkt me vet om een nieuwe sport te ontdekken. Goede vrienden en familie hebben mij verteld over het wedstrijdroeien en ik ben helemaal enthousiast.,Universiteit van Amsterdam,,,Nee,Nee,,Nee,,,"ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja"
-5001187116561054362,Vrouw,swimming,"turnen, dansen",Ik zwem al mijn hele leven,,Wedstrijdzwemmen,Ja,op vakantie,? keer per week,,2 à 3 keer per week,70,166,,,friend,,Ik zou het heel leuk vinden om deze sport te beoefenen en nieuwe contacten te leggen.+\n,,,,Nee,Nee,,Nee,,,"ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja"
-7110145856493788537,Man,"basketball, other",Fitness,4 jaar,,Trainen met andere Skøllies,Nee,,? keer per week,,3 à 4 keer per week,72,187,,,friend,,"Ik wil hard roeien, nieuwe mensen leren kennen, en de volgende stap in mijn studentenleven zetten! Ik wil selectie lopen voor de clubacht, en misschien zelfs voor de lichte eerstejaars wedstrijdacht.",Universiteit van Amsterdam,,,Nee,Nee,,Nee,,,"ne ne ja ja, ne ja ja ja, ne ne ja ja, ne ja ja ja, ja ja ja ne"
11721701155454646,Man,"soccer, swimming",,3 jaar,,,Nee,,? keer per week,,3 à 4 keer per week,78,195,,,friend,,"Ik ben sportief, heb een goede bouw voor roeien, en vind het leuk om op het water te zijn.",,,,Nee,n.v.t.,,Nee,,,"ne ja ja ja, ne ja ja ja, ne ne ne ne, ja ja ja ja, ja ja ja ja"
3762477560412694110,Vrouw,other,Yoga :p,af en aan voor een jaar of 10,,die is er niet.,Nee,,? keer per week,,2 à 3 keer per week,58,164,,,friend,,Omdat ik zin heb ik regelmatig roeien en in de gezelligheid!,,,,Nee,n.v.t.,,Nee,,,"ne ne ja ja, ne ne ja ja, ne ne ne ne, ne ne ne ne, ne ne ne ne"
-7598265863669503520,Man,rowing,,8 jaar,,16e op het NK Klein in het J18 Skiff veld,Ja,8 jaar,Meer dan 5 keer per week,Willem 3,Meer dan 4 keer per week,72,200,,,other,Ik roeide bij Willem 3,,Universiteit van Amsterdam,,,Nee,n.v.t.,,Nee,,,"ne ja ja ja, ne ja ja ja, ne ja ja ja, ne ja ja ja, ne ja ja ja"
8135161545724998919,Vrouw,other,Naar de sportschool,2 jaar,,,Nee,,? keer per week,,Minder dan 2 keer per week,50,160,,,friend,,"Omdat ik zelf erg van sporten hou, dit in combinatie met nieuwe mensen leren kennen lijkt me de beste combine voor een leuke studenten vereniging! :) ",Hogeschool van Amsterdam,,,Nee,n.v.t.,,Nee,,,"ne ja ja ja, ne ja ja ja, ne ja ja ja, ne ne ne ne, ne ja ja ja"
60894720062031889,Man,soccer,,14 jaar,,Hoofdklasse competitie in C en B junioren,Ja,2 maanden ,2 à 3 keer per week,Met middelbare school,2 à 3 keer per week,74,191,,,friend,,Ik heb gehoord dat er altijd een leuke en gemoedelijke sfeer is tijdens activiteiten en het roeien zelf. Ik kan mezelf hier goed in vinden en denk ook dat ik daar aan kan bijdragen.,,,,Nee,n.v.t.,,Nee,,,"ne ja ja ja, ne ja ja ja, ne ja ja ja, ne ja ja ja, ne ne ne ne"
5439193257706741506,Man,"hockey, other",,Fitness,,Kampioen heren 1,Nee,,? keer per week,,2 à 3 keer per week,75,190,,,friend,,Na alle verhalen van mijn vrienden wil ik het sporten en het gezelschap niet langer missen!,,,,Nee,Nee,,Nee,,,"ne ja ja ja, ne ja ja ja, ne ja ja ja, ne ja ja ja, ne ja ja ja"
6911364643311646831,Vrouw,"rowing, cycling, ice-skating, tennis",,10 jaar,,NK Klein: 9e\nNK groot: 3e,Ja,4 jaar,Meer dan 5 keer per week,Viking en Triton,Meer dan 4 keer per week,73,182,,,"friend, other",,Ik houd van roeien en gezelligheid,,,,Nee,n.v.t.,,Nee,,,"ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja"
1213048467819474580,Vrouw,"cycling, swimming, other","hardlopen, boksen",3 jaar?,,"Ik heb nooit wedstrijden gedaan. Ik een keer zonder te trainen 5km in 23 minuut nogwat gelopen tijdens een plaatselijke cross, verder houd ik niet echt tijden bij. ",Nee,,? keer per week,,3 à 4 keer per week,55,161,,,friend,,Dat is precies waarom ik meedoe aan de introductieperiode - om daar achter te komen:),,,,Nee,Nee,,Nee,,,"ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja"
6185394938244516057,Vrouw,"hockey, other",Hardlopen en judo,Ik heb twee jaar op judo gezeten en twaalf jaar gehockeyd. Sinds vorig jaar loop ik ook veel hard.,,"In het hockey was dat mijn debuut bij Purmerend dames 1 in de Tweede klasse toen ik 16 was. Mijn echte beste sportprestatie is het lopen van de Dam tot Dam loop in 2017. Toen heb ik 16,1 km gelopen in 1 uur en 37 min (gem. 10,0 km per uur).",Nee,,? keer per week,,3 à 4 keer per week,63,172,,,other,Intreeweek 2017,Ik heb de ambitie om fanatiek te gaan roeien. Ik ben serieus in mijn sport en kan slecht tegen mijn verlies. Ik wil dus altijd winnen en de beste zijn. Buiten het sporten om ben ik vooral op zoek naar een vereniging met een gezellige sfeer. Ik denk dat Skøll daarom perfect bij mij past: fanatiek op het water en gezellig op de kant!,Universiteit van Amsterdam,,,Nee,Nee,,Nee,,,"ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja"
-1430004702499334657,Vrouw,swimming,boogschieten en judo,boogschieten 3 jaar en judo 7 jaar ,,1ste plaats boogschieten in lelystad,Nee,,? keer per week,,2 à 3 keer per week,86,168,,,"internet, friend",,Ik heb al een keer eerder geroeid op de amstel met school en vond dat erg leuk. Het lijkt me ook erg gezellig om met een groep te sporten en ook te feesten in amsterdam. ,,,,Nee,Ja,,Nee,,,"ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja, ne ne ne ne"
3783101020881241349,Vrouw,"tennis, other",Dansen (Jazz),"Tennis-2 jaar, Dans-13 jaar",,Limburgs Kampioen met dansen,Nee,,? keer per week,,2 à 3 keer per week,70,168,,,"friend, stand",,"Ik ben op zoek naar een vereniging waar ik lekker sportief aan de slag kan, maar ook wel naar een vereniging met een leuke sociale kant en leuke feestjes en borrels. Volgens mij kan ik dit wel vinden bij Skøll. ",,,,Nee,n.v.t.,,Nee,,,"ja ja ja ja, ja ja ja ja, ne ne ne ne, ja ja ja ja, ja ja ja ne"
2170549277523993721,Man,"rowing, other",Zeilen,3 jaar,,Mijzelf door middel van training drie kwartier achter elkaar leren hardlopen op een hoog tempen ,Ja,3 jaar,2 à 3 keer per week,Willem III,2 à 3 keer per week,65,179,,,"friend, other",,"Op mijn dertiende ben ik helemaal gek geworden op roeien: een kracht, ritme, water én teamsport. Helaas - door Gymnasium en andere interesses - ben ik toen gestopt, maar ben nu weer helemaal gemotiveerd om weer te roeien! Ik pas bij Skøll omdat ik een spontane jongen ben die van een leuke borrels en een feestje houdt, die zichzelf wilt ontwikkelen op gebied van sport en gewoon heel graag wilt roeien bij jullie! ",,,,Nee,Nee,,Nee,,,"ne ne ne ne, ja ja ja ja, ja ja ja ja, ne ne ne ne, ja ja ja ja"
-5980185268606787382,Man,soccer,,12 jaar,,Enkele seizoenen in de 2e en 3e divisie gevoetbald,Nee,,? keer per week,,2 à 3 keer per week,78,192,,,"city, friend",,"Ik ben behoorlijk fanatiek en over het algemeen goed in sporten. Daarnaast ben ik op zoek naar wat meer actie naast mijn studie, zoals borrels en feesten.",Universiteit van Amsterdam,,,Nee,Ja,,Nee,,,"ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja"
-4156345297057682167,Vrouw,atletics,,15 jaar,,,Nee,,? keer per week,,2 à 3 keer per week,68,180,,,internet,,Ik wil al lang graag leren roeien en deze vereniging lijkt mij serieus en gezellig. Ik ben nieuw in Amsterdam en verheug me erop nieuwe mensen te leren kennen. ,,,,Nee,Nee,,Nee,,,"ja ja ja ja, ne ne ja ja, ja ja ja ja, ja ja ja ja, ne ne ne ne"
-5872418625216064449,Vrouw,hockey,,10 jaar ,,,Nee,,? keer per week,,2 à 3 keer per week,55,"1,67",,,friend,,Ik ben erg enthousiast en hou er van om nieuwe sporten uit te proberen! ,,,,Nee,Nee,,Nee,,,"ja ne ne ne, ja ja ja ja, ja ja ja ja, ne ne ja ja, ja ja ja ja"
-834235720225139271,Vrouw,handball,Turnen,12 jaar,,Drents kampioenschap turnen,Nee,,? keer per week,,2 à 3 keer per week,64,172,,,internet,,0Bij skoll kan je fanatiek roeien (eventueel wedstrijd roeien  en dat lijkt me leuk. Het lijkt me leuk om een nieuwe sport te leren. Verder lijkt het me ook echt  super gezellig en heeft skoll veel commisies waar ik denk ik wel graag actief bij wil worden. ,,,,Nee,n.v.t.,,Nee,,,"ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja"
-2548388068948054595,Vrouw,atletics,,1 jaar,,x,Nee,,? keer per week,,2 à 3 keer per week,58,172,,,"internet, friend",,"Ik pas goed bij de vereniging omdat ik gemotiveerd, sociaal en gezellig ben!\nDe combinatie van het roeien en de gezelligheid ernaast spreekt mij heel erg aan.\nHet lijkt mij een goede aanvulling op mijn studententijd. ",,,,Nee,Nee,,Nee,,,"ne ja ja ja, ne ja ja ja, ne ja ja ja, ne ja ja ja, ne ja ja ja"
2774209247745960470,Vrouw,"hockey, other","Paardrijden, hardlopen / fitness",Hockey: 12 jaar. Paardrijden: 10 jaar. Fitness / hardlopen: 1 jaar,,- \nHockey: 2e klasse hoog in de poule. Paardrijden geen wedstrijden,Nee,,? keer per week,,2 à 3 keer per week,60.1,163.6,,,"friend, stand",,"Ik ben bij alle verenigingen in de stad langs gegaan, ook bij alle in Utrecht, dit met een zo open mogelijke blik. Skøll was de enige vereniging waarbij ik mij meteen thuis en welkom voelde, dit waren \""mijn mensen\"". Voor mij is dit dé reden geweest om mij in te schrijven. Daarnaast vind ik roeien sinds de middelbare school al een gave sport (mijn vriendinnen in het NL junioren team vonden mij de ideale stuur!), en nadat er ineens 4 Skøllies klaar stonden om met mij in een roeiboot te stappen wist ik ook meteen dat ik dit een sport voor mij is - net zoals ik van alle sporten op het water intens geniet. Ik vind het erg fijn dat ik hier zelf ervoor kan kiezen om alles eruit te halen - ik heb autonomie en vrijheid, als persoon vind ik dit cruciaal. Ik wil graag sporten, en ik vind het prettig om als vereniging een gezamenlijke interesse / doel te hebben. Aangezien ik de sport erg leuk vind, ben ik zeker bereid om vaker dan 3 keer per week te gaan roeien, maar op dit moment staat voor mij de gezelligheid met de mensen centraal. Ook ben ik het gewend organisatorisch druk in de weer te zijn, of het bij jeugdorganisaties als fundraiser is of bij een jaarboekcommissie, Dat dit bij Skøll in het eerste jaar al kan is daarom een groot voordeel voor mij.",Universiteit van Amsterdam,,,Nee,Ja,,Nee,,,"ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja"
-2664032207571534946,Man,atletics,,2 jaar ,,,Nee,,? keer per week,,? keer per week,71,184,,,other,Via een vriend ,Ben erg sportief en gezellig ,,,,Nee,Ja,,Nee,,,"ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja"
3328384446456199251,Vrouw,"tennis, hockey",,11 jaar (hockey) 4 jaar (tennis),,"Gehockeyd in B2,A3 en jong dames 1 van AMHC (Amersfoort). Speelde voornamelijk in eerste en tweede klasse.",Nee,,? keer per week,,2 à 3 keer per week,54,173,,,friend,,Ik denk dat ik goed bij Skoll pas omdat ik sporten super leuk vind maar daarnaast ook van een feestje en een drankje hou. Daarentegen houd ik niet zo van verplichtingen en denk daarom dat Skoll wel goed bij mij past:) Ik heb nog nooit geroeid dus ben benieuwd hoe ik dat ga vinden. Er staat nu dat ik van plan ben 2/3 x per week te roeien maar als ik het te druk krijg met mijn studie of het toch niet zo leuk vind dan wordt dit misschien 1 x per week.,Universiteit van Amsterdam,,,Nee,Ja,,Nee,,,"ja ja ja ja, ja ja ja ne, ne ne ne ne, ne ja ja ja, ne ne ne ne"
-402661206271890006,Vrouw,"rowing, hockey, other",Sportschool,"Roeien 1 jaar, Hockey 5 jaar, Sportschool 1,5 jaar",,Nadat ik 15 jaar was was ik gestopt met Hockey en ging ik naar de sportschool. Mijn beste sportprestatie is 3 keer per week krachttraining op hoge intensiteit.,Ja,1 jaar,Minder dan 2 keer per week,Hemus,3 à 4 keer per week,"57,5",165,,,internet,,"Ik denk dat ik goed bij skøll pas, omdat ik sportief en fanatiek ben. Ik hou ook van een gezellige positieve sfeer.\nIk vind deze website erg mooi en het sprak mij erg aan. Ik vind het leuk om nieuwe mensen te ontmoeten en lekker te sporten.",Hogeschool van Amsterdam,,,Nee,Ja,,Nee,,,"ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja, ja ja ja ja"
-5397649307361483001,Vrouw,"soccer, tennis",,"drie jaar tennis, tien jaar voetbal",,KNVB Bekerfinale,Nee,,? keer per week,,2 à 3 keer per week,55,164,,,"friend, other",BROTHAA,Om sporten en gezelligheid te kunnen combineren :),,,,Nee,n.v.t.,,Nee,,,"ja ja ja ja, ne ne ne ja, ja ja ja ja, ne ne ne ne, ne ne ja ja"
1092745084056088030,Vrouw,"hockey, other",Fitness,"Hockey: 4 jaar, fitness: 2 jaar ",,Kampioen geworden met hockey,Nee,,? keer per week,,? keer per week,63,165,,,internet,,Ik hou van sporten en feesten dus dan lijkt me een studenten roeivereniging de perfecte combi voor een leuke tijd! Ik ben ook erg enthousiast en energiek straal dat ook uit naar anderen!! :)  Bring on the party time! (en roeien natuurlijk),,,,Nee,n.v.t.,,Nee,,,"ja ja ja ja, ne ja ja ja, ne ne ja ne, ne ne ja ne, ne ne ne ne"
